Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	Spl,Mas,Skil	Use%	Spl,Mas,Skil	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
113	Dissolving Blob	Ooze B	20	230	12	980	6%L3	0	N	Free	Suicidal	1	215	100	0	BrkArmor	Water	4D5+5	0	0	0	0	0	14	"Toxic Cloud,E,1"	0	0	5	0	10	5	Imm	Imm	Imm	0	0	Imm	0
114	Eldritch Ooze	Ooze C	25	315	14	1475	6%L4	0	N	Free	Suicidal	1	259	100	0	BrkItem	Water	2D22+5	0	0	0	0	0	21	"Toxic Cloud,E,2"	0	0	15	5	20	15	Imm	Imm	Imm	5	5	Imm	0
115	Peasant	Peasant Dwarf FemaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	Peasant	Peasant Dwarf FemaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	Peasant	Peasant Dwarf FemaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	Peasant	Peasant Dwarf FemaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	Peasant	Peasant Dwarf FemaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	Peasant	Peasant Dwarf FemaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	Peasant	Peasant Dwarf FemaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	Peasant	Peasant Dwarf FemaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	Peasant	Peasant Dwarf FemaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	Peasant	Peasant Dwarf MaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	Peasant	Peasant Dwarf MaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	Peasant	Peasant Dwarf MaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	Peasant	Peasant Dwarf MaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	Peasant	Peasant Dwarf MaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	Peasant	Peasant Dwarf MaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	Peasant	Peasant Dwarf MaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	Peasant	Peasant Dwarf MaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	Peasant	Peasant Dwarf MaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	Peasant	Peasant Elf FemaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	Peasant	Peasant Elf FemaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	Peasant	Peasant Elf FemaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	Peasant	Peasant Elf FemaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	Peasant	Peasant Elf FemaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	Peasant	Peasant Elf FemaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	Peasant	Peasant Elf FemaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	Peasant	Peasant Elf FemaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	Peasant	Peasant Elf FemaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	Peasant	Peasant Elf MaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	Peasant	Peasant Elf MaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	Peasant	Peasant Elf MaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	Peasant	Peasant Elf MaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	Peasant	Peasant Elf MaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	Peasant	Peasant Elf MaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	Peasant	Peasant Elf MaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	Peasant	Peasant Elf MaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	Peasant	Peasant Elf MaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	Peasant	Peasant Human1 FemaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	Peasant	Peasant Human1 FemaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	Peasant	Peasant Human1 FemaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	Peasant	Peasant Human1 FemaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	Peasant	Peasant Human1 FemaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	Peasant	Peasant Human1 FemaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	Peasant	Peasant Human1 FemaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	Peasant	Peasant Human1 FemaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	Peasant	Peasant Human1 FemaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	Peasant	Peasant Human1 MaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	Peasant	Peasant Human1 MaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	Peasant	Peasant Human1 MaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	Peasant	Peasant Human1 MaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	Peasant	Peasant Human1 MaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	Peasant	Peasant Human1 MaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	Peasant	Peasant Human1 MaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	Peasant	Peasant Human1 MaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	Peasant	Peasant Human1 MaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	Peasant	Peasant Human2 MaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	Peasant	Peasant Human2 MaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	Peasant	Peasant Human2 MaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	Peasant	Peasant Human2 MaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	Peasant	Peasant Human2 MaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	Peasant	Peasant Human2 MaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	Peasant	Peasant Human2 MaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	Peasant	Peasant Human2 MaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	Peasant	Peasant Human2 MaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	Peasant	Peasant Human2 FemaleA A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	Peasant	Peasant Human2 FemaleA B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	Peasant	Peasant Human2 FemaleA C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	Peasant	Peasant Human2 FemaleB A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	Peasant	Peasant Human2 FemaleB B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	Peasant	Peasant Human2 FemaleB C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	Peasant	Peasant Human2 FemaleC A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	Peasant	Peasant Human2 FemaleC B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
186	Peasant	Peasant Human2 FemaleC C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187	Giant Rodent	Rat A	6	55	7	126	2%L1Ring	1	N	Free	Normal	2	325	75	0	Disease1	Phys	1D9+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188	Lightning Rodent	Rat B	8	75	10	200	2%L1Ring	1	N	Free	Normal	2	333	75	0	Disease1	Phys	1D9+5	0	14	Air	2D5+5	Air	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
189	Fire Rat	Rat C	10	95	14	290	2%L1Ring	1	N	Free	Aggress	2	342	75	0	Disease2	Phys	1D9+5	0	21	Fire	3D3+5	Fire	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
190	Seeker Droid	Robot A	63	1380	72	8505	0	0	N	Med	Suicidal	4	452	50	0	0	Ener	17D3+5	Ener	0	0	0	0	0	0	0	0	45	15	15	35	Imm	Imm	Imm	35	35	15	shot,x3
191	Assassin Droid	Robot B	76	1910	96	12236	0	0	N	Short	Suicidal	4	496	50	0	0	Ener	13D6+5	Ener	0	0	0	0	0	0	0	0	50	15	15	40	Imm	Imm	Imm	40	40	15	shot,x3
192	Terminator Droid	Robot C	90	2575	120	17010	0	0	N	Short	Suicidal	4	544	50	0	0	Ener	3D57+5	Ener	0	0	0	0	0	0	0	0	60	20	20	45	Imm	Imm	Imm	45	45	20	shot,x3
193	Roc	Roc A	35	525	24	2765	17D7	1	Y	Free	Normal	3	631	80	0	0	Phys	4D10+5	0	0	0	0	0	0	0	0	0	20	20	10	10	20	10	20	0	0	25	0
194	Roc Alpha	Roc B	43	730	36	4085	27D8	1	Y	Long	Aggress	3	750	70	0	0	Phys	5D11+5	0	0	0	0	0	0	0	0	0	25	25	10	10	25	10	25	0	0	30	0
195	Thunderbird	Roc C	51	965	48	5661	59D7	1	Y	Med	Suicidal	3	879	60	0	BrkArmor	Phys	4D18+5	0	0	0	0	0	0	0	0	0	25	25	10	10	25	10	25	0	0	35	0
196	Giant Shark	Sea Monster A	34	500	36	2618	0	0	Y	Free	Aggress	4	454	90	0	0	Water	1D26+5	Water	0	0	0	0	0	0	0	0	0	0	Imm	0	0	0	0	0	0	35	0
197	Dragon Shark	Sea Monster B	40	650	42	3560	0	0	Y	Free	Aggress	4	484	90	0	0	Water	1D27+5	Water	0	0	0	0	0	0	0	0	0	0	Imm	0	0	0	0	0	0	40	0
198	Megalodon	Sea Monster C	48	875	48	5040	0	0	Y	Free	Aggress	4	525	80	0	Afraid	Water	1D27+5	Water	0	0	0	0	0	0	0	0	0	0	Imm	0	0	0	0	0	0	50	0
199	Fallen Warrior	Skeleton Warrior A	23	280	21	1265	6D6	0	N	Med	Suicidal	2	349	100	0	0	Phys	8D3+5	0	0	0	0	0	0	0	0	0	15	0	15	0	Imm	0	Imm	0	70	5	0
200	Fallen Champion	Skeleton Warrior B	27	355	24	1701	9D7	0	N	Med	Suicidal	2	414	90	0	Afraid	Phys	8D3+5	0	0	0	0	0	0	0	0	0	15	0	15	0	Imm	0	Imm	0	85	5	0
201	Fallen Hero	Skeleton Warrior C	35	525	66	2765	18%13D7+L3Sword	0	N	Short	Suicidal	2	501	80	0	Curse	Phys	8D4+5	0	0	0	0	0	0	0	21	"Heroism,M,9"	20	0	20	0	Imm	0	Imm	0	105	10	0
202	Giant Spider	Spider A	7	65	12	161	0	1	N	Med	Normal	2	395	90	0	Poison1	Phys	1D9+5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
203	Widowmaker	Spider B	9	85	14	243	0	1	N	Med	Aggress	2	378	90	0	Poison2	Phys	1D9+5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
204	Arachne	Spider C	12	115	19	396	0	1	N	Short	Aggress	2	364	90	0	Poison3	Phys	1D9+5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
205	Swordsman	Swordsman A	14	140	12	518	13D7	1	N	Long	Aggress	4	316	90	T	0	Phys	1D29+5	0	0	0	0	0	0	0	0	0	10	5	10	5	10	5	10	0	0	5	0
206	Guard	Swordsman B	19	215	18	893	6%13D11+L2Sword	1	N	Med	Aggress	4	380	80	T	0	Phys	4D6+5	0	0	0	0	0	0	0	0	0	10	5	10	5	10	5	10	0	0	5	0
207	Royal Guard	Swordsman C	24	295	24	1368	12%79D3+L2Sword	1	N	Short	Aggress	4	449	70	T	Brkweapon	Phys	4D6+5	0	0	0	0	0	0	0	0	0	15	5	15	5	15	5	15	0	0	5	0
208	Thief	Thief A	11	105	12	341	6%4D11+L1	1	N	Med	Normal	2	346	60	P	Stealx2	Phys	1D17+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209	Burglar	Thief B	14	140	16	518	12%6D10+L1	1	N	Med	Normal	2	373	60	P	Stealx2	Phys	1D17+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	Assassin	Thief C	18	200	24	810	24%7D10+L2	1	N	Med	Aggress	2	406	60	P	Poison	Phys	4D3+5	Phys	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0
211	Fallen Demigod	Titan A	75	1865	72	11925	48%220D13+L5	1	N	Short	Aggress	4	493	70	O	BrkArmor	Air	3D18+5	Air	0	0	0	0	29	"Psychic Shock,M,8"	14	"Sparks,M,8"	40	Imm	40	40	Imm	40	40	40	40	40	0
212	Titan	Titan B	81	2135	84	13851	220D19	1	N	Short	Aggress	4	513	70	O	Brkweapon	Air	3D19+5	Air	0	0	0	0	29	"Psychic Shock,M,12"	14	"Sparks,M,12"	40	Imm	40	40	Imm	40	55	20	20	40	0
213	Primal God	Titan C	95	2835	96	18905	440D13+L6	1	N	Short	Aggress	4	561	70	O	Dead	Air	2D29+5	Air	0	0	0	0	29	"Psychic Shock,G,16"	14	"Sparks,G,16"	65	Imm	65	65	Imm	50	65	20	20	50	0
214	Troglodyte Breeder	Troglodyte A	12	115	6	396	12%11D3+L1	1	N	Long	Normal	2	308	100	0	0	Phys	2D5+5	0	0	0	0	0	0	0	0	0	10	15	15	15	0	0	0	0	10	10	0
215	Troglodyte Soldier	Troglodyte B	15	155	10	585	12%9D6+L2	1	N	Med	Suicidal	2	348	90	0	Poison1	Phys	2D5+5	0	0	0	0	0	0	0	0	0	10	15	15	15	0	0	0	0	10	10	0
216	Troglodyte Queen	Troglodyte C	19	215	16	893	30%18D5+L3	1	N	Med	Aggress	2	395	80	0	Poison2	Water	2D5+5	Water	0	0	0	0	0	0	0	0	15	20	20	20	0	0	0	0	10	15	0
217	Vampire Ghoul	Vampire A	29	395	30	1943	36%8D9+L2Cape	1	N	Med	Aggress	2	371	80	OC	Disease2	Phys	4D7+5	0	0	0	0	0	0	0	0	0	5	15	Imm	15	Imm	0	Imm	0	30	15	0
218	Vampire	Vampire B	38	600	42	3230	48%18D8+L3Cape	1	N	Med	Aggress	2	442	70	OC	DrainSP	Phys	4D8+5	0	0	0	0	0	0	0	0	0	10	20	Imm	20	Imm	0	Imm	0	40	20	0
219	Elder Vampire	Vampire C	48	875	54	5040	60%18D10+L4Cape	1	N	Short	Suicidal	2	522	60	OC	DrainSP	Phys	1D35+5	0	0	0	0	0	0	0	0	0	10	25	Imm	25	Imm	0	Imm	0	50	25	0
220	Flood Warlock	Warlock B	28	375	16	1820	12%8D12+L3Wand	1	N	Med	Aggress	4	334	90	0	0	Water	10D5+5	Water	0	0	0	0	29	"Acid Burst,E,6"	0	0	15	30	85	30	15	15	15	0	15	5	0
221	Hurricane Warlock	Warlock C	35	525	21	2765	18%16D13+L4Wand	1	N	Med	Aggress	4	394	80	0	0	Air	2D39+5	Air	0	0	0	0	29	"Lightning Bolt,M,9"	0	0	25	105	35	35	20	20	20	0	20	10	0
222	Firestorm Warlock	Warlock A	45	785	36	4455	30%34D10+L4Wand	1	N	Short	Aggress	4	470	70	0	0	Fire	22D4+5	Air	0	0	0	0	29	"Fireball,M,12"	5	"Meteor Shower,M,8"	135	135	30	0	0	0	0	0	0	0	0
223	Shroud	Wight A	18	200	18	810	12%L2Dagger	0	N	Short	Suicidal	2	270	90	0	Afraid	Phys	2D6+5	0	0	0	0	0	0	0	0	0	15	15	Imm	15	Imm	0	Imm	0	55	10	0
224	Wraith	Wight B	21	245	24	1071	12%L3Dagger	0	N	Short	Suicidal	2	310	80	0	DrainSP	Phys	2D6+5	0	0	0	0	0	0	0	0	0	15	15	Imm	15	Imm	0	Imm	0	65	10	0
225	Scourge	Wight C	26	335	30	1586	24%L4Dagger	0	N	Short	Suicidal	2	360	70	0	Agex2	Phys	4D6+5	0	0	0	0	0	0	0	0	0	20	20	Imm	20	Imm	0	Imm	0	80	15	0
226	Wyvern	Wyvern A	25	315	16	1475	12%26D11+L3	1	Y	Free	Normal	3	510	80	DR	Poison3	Phys	6D9+5	0	0	0	0	0	0	0	0	0	15	15	15	5	15	5	15	5	5	15	0
227	Horned Wyvern	Wyvern B	31	435	30	2201	12%52D11+L4	1	Y	Long	Aggress	3	614	70	DR	Disease2	Phys	17D3+5	0	0	0	0	0	0	0	0	0	15	15	15	10	15	10	15	10	10	15	0
228	Ancient Wyvern	Wyvern C	37	575	42	3071	18%104D11+L4	1	Y	Med	Suicidal	3	751	60	DR	Dead	Phys	15D5+5	0	0	0	0	0	0	0	0	0	20	20	20	10	20	10	20	10	10	20	0
229	Zombie	Zombie A	11	105	9	341	12%6D5	0	N	Med	Suicidal	1	221	110	0	Disease1	Phys	1D8+5	0	0	0	0	0	0	0	0	0	15	15	15	15	Imm	0	Imm	0	35	35	0
230	Rotting Zombie	Zombie B	14	140	16	518	12%9D4	0	N	Med	Suicidal	1	258	100	0	Disease2	Phys	2D9+5	0	0	0	0	0	0	0	0	0	15	15	15	15	Imm	0	Imm	0	45	45	0
231	Plague Zombie	Zombie C	17	185	24	731	30%15D4	0	N	Med	Suicidal	1	297	90	0	Dead	Phys	4D6+5	0	0	0	0	0	0	0	0	0	20	20	20	20	Imm	0	Imm	0	55	55	0
232	peasant	Peasant Goblin female A A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	peasant	Peasant Goblin female A B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234	peasant	Peasant Goblin female A C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	peasant	Peasant Goblin female B A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	peasant	Peasant Goblin female B B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	peasant	Peasant Goblin female B C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	peasant	Peasant Goblin female C A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	peasant	Peasant Goblin female C B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
